Freq,Range,Start,Length
789,10:61,10,52
98,10:250,10,241
31,276:346,276,71
20,144:246,144,103
13,148:152,148,5
8,107:440,107,334
7,164:168,164,5
7,234:332,234,99
7,13:506,13,494
7,170:263,170,94
7,90:232,90,143
7,68:70,68,3
5,277:336,277,60
5,90:168,90,79
5,164:191,164,28
4,310:310,310,1
4,232:263,232,32
4,114:447,114,334
4,144:228,144,85
4,170:332,170,163
3,28:342,28,315
3,440:442,440,3
3,21:26,21,6
3,193:263,193,71
3,105:349,105,245
2,235:236,235,2
2,403:405,403,3
2,235:246,235,12
2,411:411,411,1
2,137:232,137,96
2,246:261,246,16
2,494:495,494,2
2,128:446,128,319
2,165:165,165,1
2,77:317,77,241
2,246:247,246,2
2,137:263,137,127
2,193:336,193,144
2,98:172,98,75
2,12:66,12,55
2,97:128,97,32
2,90:351,90,262
2,456:464,456,9
2,253:253,253,1
2,81:81,81,1
2,23:147,23,125
2,417:418,417,2
2,99:99,99,1
1,289:296,289,8
1,334:334,334,1
1,367:405,367,39
1,14:503,14,490
1,72:79,72,8
1,246:249,246,4
1,315:315,315,1
1,90:142,90,53
1,150:152,150,3
1,385:445,385,61
1,320:320,320,1
1,193:225,193,33
1,239:239,239,1
1,173:175,173,3
1,439:502,439,64
1,114:115,114,2
1,144:146,144,3
1,235:235,235,1
1,121:449,121,329
1,246:345,246,100
1,189:263,189,75
1,99:147,99,49
1,142:430,142,289
1,88:349,88,262
1,173:182,173,10
1,201:327,201,127
1,102:102,102,1
1,347:347,347,1
1,152:191,152,40
1,440:440,440,1
1,168:173,168,6
1,16:280,16,265
1,221:221,221,1
1,295:307,295,13
1,285:364,285,80
1,306:306,306,1
1,114:350,114,237
1,402:404,402,3
1,21:133,21,113
1,95:348,95,254
1,164:175,164,12
1,354:394,354,41
1,263:387,263,125
1,361:390,361,30
1,417:417,417,1
1,274:390,274,117
1,273:292,273,20
1,430:430,430,1
1,191:263,191,73
1,482:493,482,12
1,98:175,98,78
1,155:235,155,81
1,491:506,491,16
1,110:346,110,237
1,203:335,203,133
1,266:277,266,12
1,249:301,249,53
1,141:168,141,28
1,16:448,16,433
1,138:138,138,1
1,14:236,14,223
1,455:463,455,9
1,137:383,137,247
1,112:337,112,226
1,399:403,399,5
1,90:440,90,351
1,21:75,21,55
1,74:390,74,317
1,274:307,274,34
1,265:265,265,1
1,246:270,246,25
1,342:342,342,1
1,417:427,417,11
1,94:320,94,227
1,12:171,12,160
1,102:191,102,90
1,194:232,194,39
1,245:246,245,2
1,177:229,177,53
1,113:446,113,334
1,457:464,457,8
1,16:68,16,53
1,170:183,170,14
1,329:346,329,18
1,232:232,232,1
1,90:129,90,40
1,327:336,327,10
1,35:61,35,27
1,14:336,14,323
1,170:411,170,242
1,404:440,404,37
1,44:44,44,1
1,90:163,90,74
1,146:146,146,1
1,126:156,126,31
1,90:430,90,341
1,390:390,390,1
1,58:361,58,304
1,194:440,194,247
1,255:439,255,185
1,389:432,389,44
1,129:444,129,316
1,46:464,46,419
1,434:441,434,8
1,80:80,80,1
1,205:211,205,7
1,140:170,140,31
1,438:440,438,3
1,96:99,96,4
1,100:342,100,243
1,144:310,144,167
1,272:272,272,1
1,90:414,90,325
1,272:347,272,76
1,70:464,70,395
1,312:378,312,67
1,44:277,44,234
1,201:330,201,130
1,341:344,341,4
1,364:464,364,101
1,266:344,266,79
1,246:253,246,8
1,302:302,302,1
1,152:387,152,236
1,98:166,98,69
1,201:211,201,11
1,73:390,73,318
1,261:261,261,1
1,207:343,207,137
1,68:419,68,352
1,19:61,19,43
1,229:236,229,8
1,75:392,75,318
1,113:421,113,309
1,333:344,333,12
1,382:390,382,9
1,296:340,296,45
1,74:85,74,12
1,227:232,227,6
