Freq,Range,Start,Length
202,10:59,10,50
48,10:236,10,227
5,232:233,232,2
4,13:446,13,434
4,163:163,163,1
2,125:397,125,273
2,108:333,108,226
2,72:349,72,278
2,30:329,30,300
2,111:397,111,287
2,348:350,348,3
2,231:232,231,2
1,306:306,306,1
1,243:245,243,3
1,143:143,143,1
1,65:65,65,1
1,133:412,133,280
1,173:426,173,254
1,92:395,92,304
1,289:290,289,2
1,3:463,3,461
1,94:125,94,32
1,86:324,86,239
1,226:437,226,212
1,239:239,239,1
1,15:299,15,285
1,17:326,17,310
1,68:174,68,107
1,58:58,58,1
1,95:363,95,269
1,256:256,256,1
1,127:352,127,226
1,14:322,14,309
1,35:59,35,25
1,115:340,115,226
1,86:217,86,132
1,422:436,422,15
1,96:326,96,231
1,20:306,20,287
1,140:140,140,1
1,422:439,422,18
1,422:445,422,24
1,370:370,370,1
1,14:435,14,422
1,105:371,105,267
1,107:107,107,1
1,194:258,194,65
1,379:379,379,1
1,86:336,86,251
1,21:48,21,28
1,434:448,434,15
1,12:64,12,53
1,14:276,14,263
1,17:243,17,227
